SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500337,PRIME SECUR.,B ,Q,45.45,50.55,43.50,49.35,49.35,44.85,327,48112,2285359.00,
500338,PRISM CEMENT,B ,Q,111.20,133.30,109.70,114.60,114.60,112.55,3748,2572396,294525113.00,
500339,RAIN        ,A ,Q,369.00,389.80,365.75,383.45,383.45,373.35,5916,445547,169763288.00,
500343,AMJLAND     ,B ,Q,25.00,25.00,24.00,24.15,24.15,24.15,23,4865,118098.00,
500346,PUN.COMMUNI.,B ,Q,35.70,38.70,35.70,36.05,36.05,37.90,4,2500,92410.00,
500350,RSWM  LTD   ,B ,Q,357.00,358.20,342.05,344.05,344.05,360.00,138,4293,1517962.00,
500354,RAJSH.SUGAR ,B ,Q,33.40,34.70,32.40,34.05,34.40,33.40,65,10154,344364.00,
500355,RALLIS INDIA,A ,Q,226.70,227.50,219.55,223.50,223.50,225.95,404,17606,3947183.00,
500356,RAMANEWS    ,B ,Q,28.75,28.75,27.05,27.75,28.70,28.85,65,31397,875896.00,
500360,RAPICUT CARB,X ,Q,68.00,70.70,68.00,68.90,68.70,68.60,37,2470,170630.00,
500365,RMGALLOY    ,XT,Q,12.68,12.68,12.68,12.68,12.68,12.68,15,5868,74406.00,
500366,ROLTA (I)   ,B ,Q,60.75,61.90,59.60,60.60,60.60,60.75,1047,177249,10789424.00,
500367,RUBFILA INT.,X ,Q,73.35,74.50,73.00,73.20,73.00,73.35,70,16080,1180778.00,
500368,RUCHI SOYA  ,B ,Q,17.95,18.05,17.35,17.60,17.75,17.65,293,112751,1991602.00,
500372,SAMTEL COL  ,Z ,Q,0.46,0.46,0.46,0.46,0.46,0.46,38,430800,198168.00,
500378,JINDAL SAW  ,A ,Q,120.65,124.90,118.50,120.55,120.55,121.35,1224,169743,20609767.00,
500380,JK LAKSHMI  ,A ,Q,419.50,420.00,416.15,418.40,418.40,418.40,81,1249,522516.00,
500387,SHREE CEMENT,A ,Q,16030.00,16506.40,16030.00,16416.50,16473.00,16008.05,103,188,3078578.00,
500390,REL INFRA   ,A ,Q,422.10,457.00,421.30,453.35,453.35,424.30,7469,701994,311825204.00,
500399,STEELCO GUJ.,X ,Q,6.35,7.70,6.35,7.29,7.63,6.99,55,6467,47800.00,
500400,TATA POWER  ,A ,Q,78.75,80.30,78.75,80.15,79.90,79.30,963,256210,20488608.00,
500402,SPMLINFRA   ,B ,Q,104.45,104.45,99.00,99.65,99.00,101.85,6,285,28550.00,
500403,SUNDARAM FAS,A ,Q,560.00,579.45,551.15,560.95,560.95,564.20,1021,21872,12353290.00,
500404,SUNFLAG IRON,B ,Q,81.45,84.00,80.50,82.15,82.15,81.30,631,115344,9555994.00,
500405,SUPREME PET ,B ,Q,320.00,329.80,319.70,325.05,325.05,320.85,219,5047,1638583.00,
500407,SWARAJ ENGIN,B ,Q,1962.45,1980.00,1942.00,1978.10,1975.00,1964.40,57,746,1473500.00,
500408,TATA ELXSI  ,A ,Q,976.00,989.00,955.80,984.40,984.40,980.10,1199,36425,35577191.00,
500410,ACC LTD     ,A ,Q,1556.10,1572.60,1530.00,1556.00,1556.00,1559.70,685,12240,19011609.00,
500411,THERMAX     ,A ,Q,1158.75,1196.45,1150.00,1165.60,1184.95,1164.75,309,4237,4914720.00,
500412,THIRUMALAI  ,B ,Q,1870.25,1884.85,1822.00,1827.50,1827.00,1870.25,544,7258,13421691.00,
500413,THOMAS COOK ,B ,Q,266.20,273.00,263.70,268.30,272.00,267.30,587,27461,7325657.00,
500414,TIMEX GROUP ,XT,Q,43.50,46.00,43.50,44.55,45.80,45.15,48,19204,868660.00,
500418,TOKYO PLAST ,B ,Q,97.30,100.40,96.75,97.20,96.80,99.50,48,1532,149787.00,
500420,TORRENT PHAR,A ,Q,1258.50,1263.00,1250.05,1256.45,1256.90,1257.70,900,6230,7819209.00,
500422,TRANSCHEM   ,X ,Q,31.25,33.50,31.10,31.25,31.10,31.50,11,555,17387.00,
500425,AMBUJA CEME ,A ,Q,230.00,233.85,229.10,230.60,230.60,231.05,832,62819,14489499.00,
500426,UTLINDS     ,XT,Q,7.80,7.80,7.55,7.60,7.60,7.65,28,3034,22972.00,
500429,UNIPHOS ENT.,B ,Q,84.60,88.00,84.00,85.40,85.95,88.00,50,911,78311.00,
500439,VARD HOLDNG ,B ,Q,4130.95,4200.00,4110.00,4140.00,4110.00,4099.00,21,150,621892.00,
500440,HINDALCO    ,A ,Q,212.10,219.15,210.70,217.90,217.90,214.95,3360,1980454,430378646.00,
500444,WEST COAS PA,B ,Q,240.00,245.00,238.15,243.45,244.50,244.55,176,5117,1242825.00,
500449,HIND.ORG.CHM,B ,Q,25.55,27.65,25.55,26.20,26.20,26.35,456,189083,5147439.00,
500450,MPIL CORP L ,X ,Q,222.50,222.50,222.50,222.50,222.50,234.20,4,100,22250.00,
500456,PAS.ACRYLON ,X ,Q,25.30,25.50,25.00,25.15,25.15,25.25,116,52915,1337860.00,
500459,PROCTER &GAM,A ,Q,9289.00,9289.00,9080.00,9121.20,9121.20,9274.65,344,1594,14583829.00,
500460,MUKAND LTD. ,B ,Q,65.00,67.45,64.70,65.20,65.80,66.10,172,26515,1748532.00,
500463,AGCNET      ,B ,Q,106.00,111.80,104.00,105.10,105.95,108.35,14,7360,779157.00,
500464,UCAL FUEL   ,B ,Q,253.00,257.15,251.90,253.70,253.70,255.45,260,16795,4266168.00,
500467,HARR.MALAYAL,B ,Q,77.00,79.90,76.45,78.70,79.90,78.45,123,6765,525852.00,
500469,FEDERAL BANK,A ,Q,90.70,92.00,90.30,91.25,91.55,90.75,1486,304559,27776597.00,
500470,TATA STEEL  ,A ,Q,572.50,601.20,568.55,593.30,593.30,575.05,13266,1376082,814071868.00,
500472,SKF INDIA   ,A ,Q,1717.40,1725.10,1706.05,1713.55,1706.85,1714.80,85,50610,86946521.00,
500477,ASHOK LEYL. ,A ,Q,145.70,148.10,145.10,145.85,145.85,145.65,4791,2399700,351288220.00,
500480,CUMMINS (I) ,A ,Q,753.00,759.50,740.00,747.30,747.00,755.50,1508,513628,385068164.00,
500483,TATA COMM   ,A ,Q,626.00,641.50,624.60,635.60,634.60,626.35,511,20827,13182015.00,
500488,ABBOTT (I)  ,B ,Q,5469.00,5473.00,5410.00,5449.85,5455.00,5447.20,66,525,2862153.00,
500490,BAJ HOLD INV,A ,Q,2517.85,2565.30,2503.60,2539.10,2550.00,2528.35,169,1498,3795617.00,
500493,BHARAT FORGE,A ,Q,703.00,714.85,698.85,708.05,708.05,711.15,1038,35537,25140083.00,
500495,ESCORTS LTD.,A ,Q,819.00,832.75,819.00,826.35,828.00,825.35,976,49796,41179344.00,
500500,HIND.MOTORS ,T ,Q,7.66,7.90,7.50,7.81,7.85,7.66,133,74389,567472.00,
500510,LARSEN & TOU,A ,Q,1285.00,1300.00,1272.10,1293.70,1293.70,1279.70,3849,127537,164641441.00,
500520,MAH & MAH   ,A ,Q,742.90,742.95,732.50,739.85,739.85,742.65,1625,124755,91671214.00,
500530,BOSCH LTD   ,A ,Q,17500.00,17998.00,17417.15,17922.85,17998.00,17550.70,162,308,5472684.00,
500540,PREMIER LTD ,B ,Q,24.15,24.50,23.20,23.85,23.85,25.00,60,9118,218309.00,
500547,BHARAT PET. ,A ,Q,426.50,438.15,423.15,426.15,426.15,429.50,1547,99163,42724987.00,
500550,SIEMENS LTD.,A ,Q,1085.00,1116.25,1081.00,1111.30,1111.00,1090.75,718,13109,14467052.00,
500570,TATA MOTORS ,A ,Q,335.75,340.40,333.40,339.25,339.25,335.75,4119,366544,124003485.00,
500575,VOLTAS LTD  ,A ,Q,621.35,625.95,614.20,620.30,621.95,621.35,2064,64941,40360042.00,
500620,GREAT EASTE ,A ,Q,345.45,350.00,341.65,348.25,347.10,347.15,123,6373,2213419.00,
500645,DEEPAK FERT.,A ,Q,317.00,319.60,315.45,317.10,316.10,317.90,324,10939,3472437.00,
500650,EXCEL INDUST,B ,Q,897.75,919.90,888.25,891.60,897.90,900.15,264,4199,3788927.00,
500655,GARWARE POLY,X ,Q,157.20,159.90,152.40,153.65,154.00,158.25,53,88375,13721186.00,
500660,GLAXOSMITH  ,A ,Q,2204.05,2227.90,2200.00,2220.60,2220.60,2215.20,417,2267,5008370.00,
