SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
512179,SUNTECK REAL,A ,Q,401.05,401.15,393.40,395.40,395.40,399.65,818,50782,20217578.00,
512197,SILVEROAK   ,XT,Q,5.24,5.24,4.98,4.98,4.98,5.24,8,500,2491.00,
512217,PRISM MEDI  ,X ,Q,23.75,24.90,23.75,23.75,23.75,25.00,24,3531,83863.00,
512237,JAI CORP LTD,A ,Q,137.55,142.50,136.35,139.20,139.20,140.05,2947,323623,45244589.00,
512247,ASHIRWAD CAP,X ,Q,2.80,2.85,2.63,2.79,2.79,2.85,75,48064,131328.00,
512257,SVARTCORP   ,X ,Q,5.63,5.78,5.58,5.70,5.75,5.80,51,71321,405074.00,
512289,SHIRPUR GOLD,B ,Q,137.05,141.15,137.05,138.65,140.00,136.00,36,2795,390754.00,
512296,BHAGYA INL  ,B ,Q,45.80,47.25,44.75,44.85,44.85,45.80,359,45889,2108617.00,
512297,SHANTAI     ,X ,Q,130.00,130.00,126.00,126.65,128.00,131.85,8,70,8940.00,
512299,STERL.BIOTEC,Z ,Q,2.07,2.14,2.07,2.09,2.09,2.17,72,85833,179167.00,
512301,CHAMBAL BREW,XT,Q,5.16,5.25,5.16,5.25,5.25,5.43,2,125,647.00,
512329,KRL         ,XT,Q,72.65,72.65,72.65,72.65,72.65,69.20,1,25,1816.00,
512369,ENNORE COKE ,XT,Q,2.05,2.05,2.05,2.05,2.05,2.11,1,1,2.00,
512393,SHARDUL SECU,X ,Q,45.00,46.20,45.00,46.15,46.15,48.85,6,170,7832.00,
512425,NIRAV COMMER,X ,Q,254.00,254.00,252.15,253.70,252.15,265.00,5,41,10402.00,
512453,SHRI JAGDAMB,XT,Q,197.00,204.75,197.00,204.75,204.75,204.95,2,74,14733.00,
512455,LLOYDS MET E,X ,Q,15.00,15.30,14.95,15.00,15.00,14.90,47,41055,617648.00,
512477,BETEX INDIA ,X ,Q,61.50,61.85,58.45,59.60,58.50,61.50,4,60,3572.00,
512489,OASIS SECUR.,X ,Q,47.00,47.00,44.80,44.80,44.80,44.80,2,4,183.00,
512493,GARNET INTL ,X ,Q,310.85,318.80,303.65,303.65,303.65,319.60,49,1039,317058.00,
512519,DONEAR IND. ,B ,Q,50.05,51.75,49.45,50.30,50.15,50.95,50,7196,362134.00,
512527,SUPER SAL IN,X ,Q,623.30,623.30,620.05,623.00,623.00,635.00,25,417,259358.00,
512529,SEQUENT     ,B ,Q,81.50,83.45,81.35,82.05,82.05,82.05,166,23146,1911733.00,
512531,STC INDIA   ,B ,Q,146.50,148.65,140.50,143.50,143.20,147.55,436,13897,2010505.00,
512553,ZENITH EXP. ,B ,Q,42.00,43.05,41.95,42.45,42.05,46.60,6,14,592.00,
512559,KOHINORFOODS,B ,Q,62.80,63.50,62.10,62.85,62.85,63.15,108,7802,491021.00,
512573,AVANTI FEEDS,A ,Q,2298.35,2360.00,2250.05,2290.80,2290.80,2298.35,1285,11375,26207990.00,
512587,ZODIAC JRD  ,B ,Q,39.05,41.95,39.05,40.00,40.00,42.50,24,2182,87691.00,
512589,SITA ENTER. ,X ,Q,16.10,16.10,16.10,16.10,16.10,15.35,2,100,1610.00,
512599,ADANI ENTER ,A ,Q,158.10,163.20,158.10,160.85,160.85,160.65,3373,662595,106596609.00,
512604,HARIA EXPORT,XT,Q,3.26,3.26,3.26,3.26,3.26,3.43,1,50,163.00,
512608,BHANDARI HOS,B ,Q,3.09,3.29,3.08,3.08,3.08,3.24,133,79947,249049.00,
512624,REGENTRP    ,SS,Q,3.89,3.90,3.89,3.90,3.90,3.80,4,1900,7406.00,
512626,ORBIT EXPORT,B ,Q,143.00,150.00,143.00,148.00,150.00,145.05,108,2806,414420.00,
512634,SAVERA IND  ,X ,Q,71.00,75.00,70.30,70.95,75.00,71.50,4,6102,433235.00,
513005,VBC FERRO   ,XT,Q,42.05,42.05,42.00,42.00,42.00,44.20,3,160,6725.00,
513010,TATA SPONGE ,A ,Q,950.00,974.55,948.00,960.70,960.70,962.35,513,9618,9266724.00,
513023,NAV BHAR VEN,A ,Q,138.00,141.50,136.25,138.85,138.85,139.20,265,32338,4474011.00,
513043,REMI EDEL   ,X ,Q,32.00,37.00,30.50,35.55,35.95,34.20,17,1513,51994.00,
513059,G.S.AUTO INT,X ,Q,12.52,12.58,12.01,12.56,12.56,11.99,23,5363,66900.00,
513063,TRANSFREIGHT,XT,Q,22.25,22.25,21.15,21.15,21.15,22.25,6,231,4919.00,
513097,SHIV.BIMETAL,X ,Q,123.00,123.25,109.05,112.35,112.65,119.80,655,79604,9041865.00,
513108,GANDHI SP.TU,B ,Q,396.00,405.00,396.00,400.65,400.70,403.20,10,45,17999.00,
513117,AMFORGE IND.,XT,Q,3.25,3.57,3.23,3.57,3.57,3.40,7,11122,36523.00,
513121,ORICON ENT  ,B ,Q,52.50,53.00,50.50,50.80,50.75,52.65,398,74171,3844435.00,
513142,BALASORE    ,X ,Q,54.30,56.50,53.60,54.40,54.40,55.25,998,214567,11738415.00,
513149,ACROW INDIA ,XT,Q,139.60,139.60,139.60,139.60,139.60,137.80,1,75,10470.00,
513151,STI INDIA LT,B ,Q,12.95,12.95,12.90,12.90,12.90,13.50,2,200,2585.00,
513179,NAT STL AGRO,B ,Q,31.40,31.40,30.05,30.50,30.50,31.40,30,23707,740345.00,
513216,UTTAM GALVA ,T ,Q,15.60,15.70,14.25,14.30,14.30,15.00,987,242392,3583428.00,
513228,PENNAR STEEL,B ,Q,53.25,55.55,52.65,52.90,53.05,53.40,481,87744,4689092.00,
513250,JYOTI STRUCT,B ,Q,9.05,9.27,8.81,8.95,8.92,8.98,79,27290,244934.00,
513252,JAY USHIN   ,XT,Q,540.70,570.00,536.75,565.00,565.00,565.00,57,540,293528.00,
513262,ST.STR.WHEEL,B ,Q,1049.00,1072.75,1048.30,1066.60,1061.50,1053.10,16,37,39015.00,
513269,MAN IND.(I) ,B ,Q,122.50,125.35,122.00,122.55,123.80,123.20,559,48284,5996296.00,
513295,RUCHI STR AL,X ,Q,1.63,1.63,1.49,1.49,1.49,1.56,5,1000,1534.00,
513303,MODERN STEEL,XT,Q,16.65,16.65,16.65,16.65,16.65,17.50,1,60,999.00,
513335,METALFORGE  ,B ,Q,30.00,30.00,28.00,28.25,28.25,28.90,60,8733,248606.00,
513349,AJMERA      ,B ,Q,248.05,252.90,241.50,251.70,251.70,249.20,488,27986,6982741.00,
513353,COCHIN MIN. ,X ,Q,120.00,120.00,116.15,116.35,116.35,122.25,51,2941,345944.00,
513361,ISW LTD     ,X ,Q,2.65,2.70,2.60,2.65,2.62,2.69,184,208483,549081.00,
513369,RAJKUMAR FRG,XT,Q,38.50,40.00,38.50,39.05,39.05,40.00,5,620,24480.00,
513375,CARBORUNDUM ,A ,Q,335.95,344.95,335.00,342.65,340.20,336.70,475,7141,2432816.00,
513377,MINERAL&METL,A ,Q,66.00,66.00,62.80,63.95,63.95,66.15,4497,848162,54340702.00,
513397,VALLABH STEL,X ,Q,29.30,29.30,29.30,29.30,29.30,30.80,5,1200,35160.00,
513401,ASHIANA ISP.,X ,Q,29.20,29.50,29.20,29.50,29.50,29.05,2,200,5870.00,
513403,PM TELELINN ,X ,Q,2.47,2.50,2.47,2.50,2.50,2.45,2,500,1248.00,
513414,SMPL        ,B ,Q,1.16,1.22,1.15,1.15,1.15,1.21,17,28141,32467.00,
513422,BLOOM INDUST,P ,Q,5.93,5.93,5.93,5.93,5.93,5.65,1,2000,11860.00,
513434,TATA METALIK,B ,Q,740.00,754.00,725.00,736.30,725.00,740.70,498,18593,13775276.00,
513436,SHAH ALLOYS ,B ,Q,47.70,49.00,45.20,46.50,46.50,47.55,421,85465,4065332.00,
513446,MONNETISPA  ,B ,Q,20.00,20.40,19.15,20.15,20.20,20.00,518,146985,2943561.00,
513456,KANISHK ST. ,XT,Q,11.50,11.50,11.50,11.50,11.50,12.10,1,5,57.00,
513472,SIMPLEX CAST,X ,Q,138.10,144.00,138.00,144.00,144.00,145.05,9,1006,141834.00,
513509,KALYANI FORG,T ,Q,279.00,281.50,270.70,279.30,279.25,284.90,30,1160,315532.00,
513511,PANCH.STEEL ,X ,Q,41.05,43.65,41.00,42.10,42.00,43.00,14,2311,96638.00,
513515,S.R.INDUS.  ,XT,Q,27.10,28.20,27.10,28.05,28.20,28.50,14,12281,334645.00,
513517,STEELCAST   ,X ,Q,170.00,176.45,170.00,170.30,170.30,169.85,31,3499,601799.00,
513519,PITTI LAMIN.,B ,Q,84.00,87.00,84.00,85.00,85.55,83.75,152,12486,1071157.00,
513528,GLITTEK GRAN,XT,Q,2.25,2.41,2.19,2.19,2.19,2.30,22,21515,50176.00,
513532,PRADEEP MET.,X ,Q,100.00,100.00,95.10,95.90,95.10,98.50,40,19590,1914659.00,
513534,VARDHMAN IND,X ,Q,10.95,11.47,10.82,10.87,11.00,10.96,10,1133,12346.00,
513540,T.N.STEEL TU,P ,Q,31.80,31.80,31.80,31.80,31.80,33.45,2,200,6360.00,
513554,MAHA STEEL  ,B ,Q,68.00,70.00,67.50,67.55,67.50,68.30,52,1600,109206.00,
513558,REAL STRIPS ,XT,Q,13.58,13.58,13.58,13.58,13.58,13.85,1,30,407.00,
513566,NOVA IRON&ST,XT,Q,7.98,8.80,7.98,8.01,8.00,8.40,16,2667,21318.00,
513597,SURANA INDS ,T ,Q,2.60,2.60,2.55,2.55,2.55,2.65,2,1347,3452.00,
513599,HIND.COPPER ,A ,Q,66.45,69.30,65.75,67.05,67.05,67.35,1980,445482,30038236.00,
513605,SRIPIPES    ,B ,Q,323.95,329.95,322.00,323.45,323.45,327.95,199,11175,3640447.00,
513642,AXEL POLYMER,XT,Q,22.50,22.65,22.50,22.65,22.65,21.60,15,3250,73560.00,
513683,NLCINDIA    ,A ,Q,95.05,95.05,92.80,93.80,93.80,95.05,872,99986,9398059.00,
513691,JMT AUTO LTD,B ,Q,4.35,4.70,4.35,4.48,4.48,4.55,79,57595,258567.00,
513693,KIC METALIKS,X ,Q,159.90,159.90,159.90,159.90,159.90,156.80,9,1595,255040.00,
513699,SOLID STONE ,X ,Q,68.00,68.00,67.70,67.70,67.70,65.00,3,24,1628.00,
513703,KUMAR WIRE  ,XT,Q,47.20,47.20,47.20,47.20,47.20,45.00,1,50,2360.00,
513709,SHILP GRAVUR,X ,Q,121.60,127.80,119.70,122.00,122.20,125.45,196,12535,1523954.00,
513713,WHITEORG    ,X ,Q,102.10,108.50,102.10,108.50,108.50,103.35,143,25612,2742955.00,
513729,ARO GRANITE ,B ,Q,58.40,60.00,58.00,58.35,58.10,58.95,76,8954,524408.00,
514010,HIM.FIBRES  ,X ,Q,5.05,5.79,5.05,5.16,5.16,5.58,14,1997,10357.00,
514028,RAJKAMAL SYN,XT,Q,15.00,15.40,15.00,15.40,15.40,14.80,4,500,7622.00,
514030,DEEPAK SPINN,X ,Q,84.30,87.00,84.25,85.90,87.00,86.50,13,465,39554.00,
514034,JBF IND.LTD ,B ,Q,110.10,116.00,104.00,108.55,109.25,114.30,2135,229303,25204985.00,
514036,LOY.TEX MILL,X ,Q,623.40,623.40,600.00,600.00,600.00,579.85,3,36,21802.00,
514043,HIMAT.SEIDE ,B ,Q,335.55,343.50,332.20,338.80,338.80,337.25,318,7109,2406068.00,
514045,BSL LTD.    ,B ,Q,59.60,59.60,58.90,59.00,58.90,61.95,17,4697,277694.00,
514087,PBM POLYTEX ,X ,Q,84.50,87.75,82.30,84.15,83.35,86.05,28,1375,115110.00,
514138,SURYALATA SP,X ,Q,148.00,148.00,144.00,144.00,144.00,142.35,3,125,18400.00,
514142,TT LTD.     ,B ,Q,86.95,88.00,85.90,86.40,86.00,85.80,36,5806,507252.00,
514144,UNIWORTH LTD,XT,Q,0.91,0.91,0.91,0.91,0.91,0.92,2,153,139.00,
514162,WELSPUN (I) ,A ,Q,59.10,59.45,58.40,58.60,58.60,59.00,501,307219,18191023.00,
514165,IND.ACRYLICS,X ,Q,13.95,14.00,13.55,13.65,13.55,13.95,199,147932,2038769.00,
514167,GANESH ECOSP,B ,Q,325.00,332.90,318.10,319.45,320.50,325.10,89,2842,923967.00,
514171,CEETA IND.  ,XT,Q,6.51,6.51,6.51,6.51,6.51,6.20,2,380,2473.00,
514175,VARDHMAN POL,B ,Q,22.00,22.10,21.15,21.40,21.40,22.05,39,3927,84388.00,
514183,BLA ROS IND ,XT,Q,45.50,47.40,45.50,45.70,46.50,45.45,22,4865,222944.00,
514197,ST CORP     ,XT,Q,28.85,28.85,28.85,28.85,28.85,28.85,6,4500,129825.00,
514211,SUMEET INDUS,B ,Q,24.65,26.70,23.50,25.90,25.90,24.40,725,170856,4348332.00,
514215,BINNY LTD.  ,X ,Q,212.00,212.00,202.00,206.00,206.00,209.00,39,2266,472947.00,
514221,KLIFESTYLE  ,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,2,2378,451.00,
514223,RAMGOPAL POL,T ,Q,18.30,18.30,16.56,16.56,16.56,17.43,83,12766,222935.00,
514234,SANGAM INDIA,B ,Q,134.80,140.00,133.40,134.20,133.55,136.80,52,2763,373568.00,
514264,SEASONS TEXT,SS,Q,17.65,19.00,17.65,18.95,18.95,18.55,96,19200,351840.00,
514266,ZENITH FIBRE,XT,Q,95.20,102.00,95.20,97.25,102.00,100.00,25,32465,3112018.00,
514272,BHILWARA SP.,X ,Q,8.96,8.96,8.96,8.96,8.96,8.54,1,1000,8960.00,
514274,AARVEE DENIM,B ,Q,43.70,45.00,43.60,43.90,43.90,44.90,20,4517,198561.00,
514286,ASHIMA LTD. ,B ,Q,25.40,26.30,25.15,25.30,25.30,25.70,206,118074,3007959.00,
514300,PIONEER EMB ,B ,Q,33.00,34.65,32.00,32.75,33.20,33.55,129,7383,243116.00,
514302,VIPPY SPIN. ,X ,Q,49.90,49.90,47.00,48.05,48.05,47.00,6,736,35227.00,
514316,RAGHUVIR SYN,XT,Q,151.00,162.75,151.00,151.15,162.75,155.00,4,454,68589.00,
514318,JATTAINDUS  ,P ,Q,21.70,21.70,21.70,21.70,21.70,22.80,1,100,2170.00,
514322,KAMADGIRI   ,X ,Q,118.00,124.80,112.25,118.90,117.25,120.55,34,1372,161094.00,
514326,PATSPIN INDI,B ,Q,16.25,16.95,16.00,16.00,16.00,16.80,55,13921,224635.00,
514348,WINSOME YRN ,T ,Q,2.12,2.12,2.12,2.12,2.12,2.11,1,1000,2120.00,
514354,PREMIER POLY,B ,Q,42.00,42.00,42.00,42.00,42.00,42.00,8,644,27048.00,
514358,EVERLON SYN.,XT,Q,12.75,13.05,12.75,13.05,13.05,13.40,3,1300,16665.00,
514394,AJIL        ,X ,Q,65.00,67.00,65.00,65.50,65.50,66.80,4,298,19420.00,
514412,SARUPINDUS  ,X ,Q,60.00,60.00,56.80,56.80,56.80,59.70,2,40,2342.00,
514418,MANORG      ,X ,Q,191.10,200.00,191.10,195.75,195.50,188.10,110,6891,1342875.00,
514428,HINDU.ADHESI,X ,Q,110.00,111.40,105.55,111.40,111.40,109.15,9,212,23308.00,
514450,MAHA.RUBTECH,X ,Q,48.30,50.00,47.50,48.05,47.50,49.50,47,5626,272148.00,
514470,WIMSOME TEXT,B ,Q,44.90,46.95,42.00,42.30,42.10,42.90,42,5954,255695.00,
514474,FAIRDEAL FIL,X ,Q,66.90,71.60,65.60,70.35,69.00,68.20,62,4910,343561.00,
514484,THAMBI MOD. ,XT,Q,5.35,5.35,5.35,5.35,5.35,5.62,1,535,2862.00,
515018,REG.CERAMIC ,T ,Q,4.90,4.90,4.50,4.83,4.83,4.73,3,106,479.00,
515030,ASAHI IN.GLA,B ,Q,333.00,337.45,333.00,333.15,333.15,333.05,78,5440,1816439.00,
515037,MURD.CERAM  ,B ,Q,34.95,35.70,34.15,34.70,34.60,35.55,68,11966,417276.00,
515043,SAINT-GOBAIN,X ,Q,59.40,59.75,57.00,58.10,58.00,58.65,217,50322,2955325.00,
515055,ANANTRAJ    ,B ,Q,51.55,52.60,50.25,50.85,50.85,52.55,792,236217,12191665.00,
515059,MADHUS.IND. ,XT,Q,18.50,19.05,17.35,17.35,17.35,18.15,4,600,10722.00,
515085,RESTILE CER.,X ,Q,6.99,6.99,6.76,6.76,6.76,6.74,6,170,1183.00,
515093,MADHAV MARB.,B ,Q,52.40,53.50,49.00,50.70,50.70,53.50,132,11098,574441.00,
515127,RAMASIGNS   ,X ,Q,19.60,19.70,18.40,19.00,19.70,19.55,8,1543,30197.00,
515145,HIND.NAT.GLS,B ,Q,124.00,124.00,109.00,115.95,115.95,119.65,23,656,73501.00,
515147,HALDYN GLASS,X ,Q,38.00,38.70,37.70,37.85,37.85,37.95,96,179676,6839349.00,
516003,SARDA PLY.  ,ST,Q,126.00,138.00,125.40,125.40,125.40,131.95,33,18722,2349938.00,
516007,MANGALAM TIM,B ,Q,26.00,26.40,25.70,25.90,26.40,26.55,63,16295,421640.00,
516016,SHREYANS IND,B ,Q,140.35,142.75,138.00,139.00,139.00,140.95,63,3390,474541.00,
516020,AGIO PAPER  ,X ,Q,3.87,3.87,3.87,3.87,3.87,4.07,4,1300,5031.00,
516022,STAR PAPER  ,B ,Q,203.00,211.30,200.65,205.40,205.40,204.35,391,16126,3321413.00,
516030,YASH PAPERS ,X ,Q,64.10,66.45,62.25,65.50,65.50,63.95,228,100219,6561475.00,
516064,ARROWGREEN  ,B ,Q,266.00,282.00,265.00,273.35,273.35,267.05,412,15153,4172541.00,
516072,VISHNU CHEM ,B ,Q,280.00,287.50,278.00,282.95,280.00,285.00,5,77,21634.00,
516078,JUMBO BAG   ,Z ,Q,15.35,15.35,15.35,15.35,15.35,16.15,1,33,506.00,
516082,N.R.AGARWAL ,B ,Q,420.00,444.70,420.00,435.75,444.70,430.20,138,1882,821834.00,
516092,PUDMJEE IND ,B ,Q,13.00,13.70,13.00,13.70,13.70,13.25,9,1252,16452.00,
516096,SANGAL PAPER,XT,Q,105.00,114.95,104.50,104.50,104.50,110.00,14,837,87822.00,
516106,SH.KARTHIK P,X ,Q,15.25,15.80,15.25,15.25,15.25,15.55,33,38597,601646.00,
516108,S.I.PAPER   ,XT,Q,114.90,119.00,114.90,114.90,114.90,113.50,13,3370,391633.00,
516110,SCANDENT    ,XT,Q,19.20,19.20,19.20,19.20,19.20,20.20,17,11488,220569.00,
517015,VINDHYA TELE,B ,Q,1040.00,1040.00,989.00,997.35,996.10,1008.60,201,3476,3525305.00,
517035,RUTTONSHA IN,X ,Q,44.55,48.45,44.55,48.45,48.45,46.25,4,400,18670.00,
517041,ADORWELDING ,B ,Q,400.55,406.00,393.20,395.45,395.45,406.20,159,5561,2223197.00,
517059,SALZER ELEC ,B ,Q,196.00,211.80,196.00,208.10,208.10,195.25,1049,55646,11497256.00,
517063,JETINFOTRAN ,X ,Q,59.40,59.40,56.15,56.90,57.95,59.80,21,2524,145693.00,
517080,HIGHGROUND  ,B ,Q,10.74,10.83,10.03,10.26,10.37,10.48,36,11734,120808.00,
517096,APLAB LTD.  ,XT,Q,21.15,21.15,21.15,21.15,21.15,22.25,3,600,12690.00,
517119,PCS TECH    ,X ,Q,21.55,22.20,21.15,21.35,21.35,21.70,26,2424,52034.00,
517140,MOSER BEAR  ,T ,Q,3.90,3.94,3.85,3.92,3.91,3.89,70,65189,253369.00,
517146,USHA MART.LT,B ,Q,19.00,19.65,18.50,18.75,18.75,19.00,444,233367,4494764.00,
517166,SPEL SEMICON,X ,Q,12.50,12.63,11.95,12.08,12.00,12.57,27,5409,65749.00,
517168,SUBROS LTD. ,B ,Q,296.40,303.45,293.40,296.90,296.90,295.00,147,5706,1702932.00,
517174,HONEYWELL   ,B ,Q,15498.95,15628.45,15150.00,15217.25,15150.00,15330.50,45,56,856804.00,
517206,LUMAX IND   ,B ,Q,2198.00,2240.00,2170.95,2190.55,2210.00,2218.25,36,242,535254.00,
517214,SPICEMOBI   ,B ,Q,16.35,16.70,16.35,16.65,16.65,16.80,20,45946,766124.00,
517224,SUJANA INDUS,T ,Q,0.72,0.74,0.68,0.74,0.74,0.71,29,37268,27213.00,
517236,CALCOM VISIO,X ,Q,13.01,13.68,13.01,13.66,13.67,13.61,34,9986,134993.00,
517238,DYNAVISION  ,XT,Q,54.80,59.00,54.80,59.00,59.00,57.55,5,540,29760.00,
517271,HBL P SYS   ,B ,Q,50.90,50.90,47.80,47.95,48.00,49.50,396,85499,4146621.00,
517288,GUJARATPOLY ,XT,Q,15.20,15.20,15.20,15.20,15.20,15.40,2,779,11840.00,
517300,GUJ.IND.POW.,B ,Q,103.15,103.25,100.00,100.20,100.05,103.50,153,14863,1495788.00,
517330,CMI LTD.    ,B ,Q,220.90,227.00,214.90,222.70,222.00,223.35,87,3594,798894.00,
517334,MOTHERSON SS,A ,Q,306.05,311.55,303.00,305.65,305.65,306.05,1198,248193,76562813.00,
517344,MINDTECK (I),B ,Q,55.40,58.50,55.40,57.40,57.40,57.45,73,2173,124590.00,
517354,HAVELLSINDIA,A ,Q,502.00,502.30,495.20,498.35,498.35,505.20,887,52252,26060033.00,
517370,INCAP LTD.  ,XT,Q,84.00,84.00,83.00,83.00,83.00,83.00,3,274,22892.00,
517372,GUJ.INTRUX  ,X ,Q,96.50,101.75,94.20,100.00,100.00,97.75,12,1152,111150.00,
517380,IGARSHI MOT ,B ,Q,804.95,805.95,797.00,801.05,801.05,797.20,53,1111,888142.00,
517385,SYMPHONY    ,A ,Q,1751.00,1753.80,1738.00,1743.70,1741.00,1759.50,78,341,595208.00,
517397,PAN ELECTR. ,XT,Q,5.49,5.49,5.49,5.49,5.49,5.49,1,340,1866.00,
517411,SHYAM TELEC.,B ,Q,15.95,16.55,14.05,16.55,16.55,13.80,36,7579,125027.00,
517415,LEE&NEE SOFT,XT,Q,3.34,3.34,3.28,3.28,3.28,3.34,8,1355,4465.00,
517417,PATEL AIRTEM,X ,Q,170.00,173.90,164.05,168.65,168.60,170.40,67,5247,900349.00,
517421,BFLYGANDHI  ,B ,Q,482.00,500.20,481.55,482.80,484.05,491.75,29,3966,1914237.00,
517429,ATHENAGLO   ,XT,Q,17.00,17.20,17.00,17.20,17.10,17.00,5,2125,36392.00,
517447,R.S.SOFTWARE,B ,Q,59.00,59.70,57.30,57.35,57.30,58.70,103,7561,437841.00,
517449,MAGNA ELECTR,X ,Q,174.00,174.00,165.60,168.85,168.95,171.10,42,1770,299215.00,
517467,MARSONS     ,XT,Q,3.87,4.10,3.87,3.95,3.95,4.07,17,80390,314996.00,
517477,ELNET TECH. ,X ,Q,155.00,155.00,145.25,150.25,152.00,152.50,42,2161,323040.00,
517481,APTL        ,XT,Q,5.00,5.25,4.95,5.00,5.00,5.00,26,5498,27984.00,
517498,WEBELSOLAR  ,B ,Q,96.00,97.05,93.10,93.60,93.50,96.50,559,46538,4422198.00,
517500,ROTO PUMPS  ,X ,Q,94.35,94.35,87.55,88.15,88.00,91.75,178,21270,1913985.00,
517506,TTK PRESTIGE,A ,Q,6346.10,6499.00,6200.00,6323.15,6259.00,6334.60,199,1509,9664836.00,
517514,DHINDIA     ,XT,Q,22.50,24.30,22.20,22.20,22.20,23.35,17,2241,50945.00,
517518,LEEL        ,B ,Q,246.80,254.00,245.00,245.85,245.15,247.80,260,8691,2170992.00,
517522,RAJ GLO WIR ,X ,Q,531.00,549.00,512.00,517.30,515.00,532.55,153,6560,3401475.00,
517530,SURANATP    ,B ,Q,5.19,5.19,4.88,4.90,4.90,5.08,16,12348,60553.00,
517536,ONWARD TECHN,B ,Q,93.50,95.05,92.30,93.60,93.60,94.05,102,9552,893162.00,
517544,CENTUM ELEC ,B ,Q,518.00,519.95,501.15,503.10,505.00,513.80,65,2632,1340206.00,
517546,ALFA TRANSFO,X ,Q,31.65,31.65,30.20,30.20,30.20,30.15,16,3622,114351.00,
517548,STARLITE COM,X ,Q,53.80,53.90,52.00,52.05,52.05,52.50,125,24410,1275676.00,
517554,NHCFOODS    ,XT,Q,14.90,14.90,14.25,14.35,14.55,14.50,68,14640,215987.00,
517556,PVP VENT LTD,B ,Q,5.86,6.38,5.78,6.38,6.38,6.08,154,108768,671754.00,
517562,TRIGYN TECH ,B ,Q,137.20,140.25,132.40,133.65,133.65,135.80,196,27463,3728321.00,
517569,KEI INDUST. ,B ,Q,358.60,362.60,355.80,359.20,359.20,362.55,674,18933,6792924.00,
517571,IMPPOWERS   ,B ,Q,96.15,97.30,96.15,97.05,97.05,98.55,6,337,32720.00,
518011,KEERTHI     ,XT,Q,120.50,127.85,119.75,124.45,122.25,125.95,18,2577,315804.00,
518029,GUJ.SIDH.CEM,T ,Q,29.55,29.55,27.25,27.35,27.35,28.20,65,11711,323699.00,
518075,SURAJ PRODUC,XT,Q,21.00,21.00,19.00,19.00,19.00,20.00,2,35,685.00,
518091,ANJANI PORTL,B ,Q,177.00,181.75,172.00,175.40,179.50,177.60,11,1404,246224.00,
519003,MODINATURAL ,X ,Q,94.15,105.00,89.30,99.50,99.50,97.15,28,2079,208816.00,
519031,SHAH FOOD(P),XT,Q,104.95,108.75,100.00,102.15,100.40,103.60,25,1111,114811.00,
519091,TASTY BITE  ,B ,Q,7356.25,7400.00,7306.00,7366.70,7306.00,7369.70,30,65,478376.00,
519097,RITESH INTER,XT,Q,8.86,8.86,8.86,8.86,8.86,8.86,3,400,3544.00,
519105,AVT NATURAL ,B ,Q,39.60,39.60,38.55,38.70,38.70,39.25,100,8558,333125.00,
519126,HIND.FOODS  ,XT,Q,287.00,295.00,272.75,289.65,287.00,286.85,64,12808,3524492.00,
519136,NAHAR INDUST,B ,Q,78.00,82.50,76.50,78.00,78.00,77.00,127,20569,1651853.00,
519152,VADILAL ENT ,XT,Q,1030.00,1060.00,1030.00,1032.50,1030.00,1025.00,32,4256,4392558.00,
519156,VADILAL IND ,B ,Q,869.00,875.00,850.00,855.15,855.15,873.20,258,2448,2110068.00,
519174,ASHIANA AGRO,XT,Q,2.55,2.55,2.55,2.55,2.55,2.60,1,100,255.00,
519183,ADF FOODS LT,B ,Q,210.00,215.50,207.10,211.20,211.20,210.95,405,32081,6766735.00,
519214,WILLIAM.FIN.,XT,Q,30.00,30.00,29.25,29.55,29.55,30.60,6,2400,71340.00,
519216,AJANTA SOYA ,X ,Q,46.15,49.25,46.15,48.65,48.65,48.00,23,2326,111642.00,
519224,WILLIAM.MAGO,T ,Q,90.20,90.45,90.00,90.00,90.00,94.00,11,3047,274459.00,
519238,SAPTARISHI A,P ,Q,7.34,7.34,6.97,6.97,6.97,7.33,4,6500,46785.00,
519248,JVL AGRO    ,B ,Q,22.75,23.50,22.30,22.50,22.40,23.10,220,52727,1196361.00,
519260,SANWARIA    ,B ,Q,17.25,17.65,17.10,17.10,17.10,18.00,1775,1072905,18447084.00,
519262,PRIMA AGRO L,XT,Q,33.80,33.80,32.15,33.80,33.80,33.80,22,4198,141377.00,
519285,TARAI FOODS ,XT,Q,6.39,6.39,6.09,6.09,6.09,6.09,2,51,310.00,
519287,MODERN DAIRI,XT,Q,7.64,8.43,7.64,7.75,7.75,8.03,25,39195,320535.00,
519295,BAMBINO AGRO,XT,Q,229.50,229.50,217.00,224.95,224.00,226.70,12,941,207574.00,
519307,VIKAS WSP   ,X ,Q,12.30,12.75,11.90,12.50,12.50,12.50,272,232232,2883002.00,
519359,POONA DAL   ,X ,Q,58.80,60.00,58.10,59.60,59.60,59.40,19,1148,67460.00,
519383,ANIK INDS   ,B ,Q,34.10,35.25,33.70,35.05,35.05,35.25,14,2057,69909.00,
519421,KSE LIMITED ,XT,Q,2465.00,2466.35,2348.95,2461.60,2461.60,2348.95,184,4567,11211009.00,
